Question,Option A,Option B,Option C,Option D,Answer
"You created a Google Cloud Platform project with an App Engine application inside the project. You initially configured the application to be served from the us- central region. Now you want the application to be served from the asia-northeast1 region. What should you do?","Change the default region property setting in the existing GCP project to asia-northeast1.","Change the region property setting in the existing App Engine application from us-central to asia-northeast1.","Create a second App Engine application in the existing GCP project and specify asia-northeast1 as the region to serve your application.","Create a new GCP project and create an App Engine application inside this new project. Specify asia-northeast1 as the region to serve your application.",D
"You need to grant access for three users so that they can view and edit table data on a Cloud Spanner instance. What should you do?","Run gcloud iam roles describe roles/spanner.databaseUser. Add the users to the role.","Run gcloud iam roles describe roles/spanner.databaseUser. Add the users to a new group. Add the group to the role.","Run gcloud iam roles describe roles/spanner.viewer - -project my-project. Add the users to the role.","Run gcloud iam roles describe roles/spanner.viewer - -project my-project. Add the users to a new group. Add the group to the role.",B
"You create a new Google Kubernetes Engine (GKE) cluster and want to make sure that it always runs a supported and stable version of Kubernetes. What should you do?","Enable the Node Auto-Repair feature for your GKE cluster.","Enable the Node Auto-Upgrades feature for your GKE cluster.","Select the latest available cluster version for your GKE cluster.","Select Container-Optimized OS (cos) as a node image for your GKE cluster.",B
"You have an instance group that you want to load balance. You want the load balancer to terminate the client SSL session. The instance group is used to serve a public web application over HTTPS. You want to follow Google-recommended practices. What should you do?","Configure an HTTP(S) load balancer.","Configure an internal TCP load balancer.","Configure an external SSL proxy load balancer.","Configure an external TCP proxy load balancer.",A
"You have 32 GB of data in a single file that you need to upload to a Nearline Storage bucket. The WAN connection you are using is rated at 1 Gbps, and you are the only one on the connection. You want to use as much of the rated 1 Gbps as possible to transfer the file rapidly. How should you upload the file?","Use the GCP Console to transfer the file instead of gsutil.","Enable parallel composite uploads using gsutil on the file transfer.","Decrease the TCP window size on the machine initiating the transfer.","Change the storage class of the bucket from Nearline to Multi-Regional.",B
"You've deployed a microservice called myapp1 to a Google Kubernetes Engine cluster. You need to refactor this configuration so that the database password is not stored in plain text. You want to follow Google-recommended practices. What should you do?","Store the database password inside the Docker image of the container, not in the YAML file.","Store the database password inside a Secret object. Modify the YAML file to populate the DB_PASSWORD environment variable from the Secret.","Store the database password inside a ConfigMap object. Modify the YAML file to populate the DB_PASSWORD environment variable from the ConfigMap.","Store the database password in a file inside a Kubernetes persistent volume, and use a persistent volume claim to mount the volume to the container.",B
"You are running an application on multiple virtual machines within a managed instance group and have autoscaling enabled. The virtual machine instances take around three minutes to become available for users. You observe that when the instance group autoscales, it adds more instances than necessary. You want to properly maintain instance group sizes when autoscaling. What should you do?","Set the maximum number of instances to 1.","Decrease the maximum number of instances to 3.","Use a TCP health check instead of an HTTP health check.","Increase the initial delay of the HTTP health check to 200 seconds.",D
"You need to select and configure compute resources for a set of batch processing jobs. These jobs take around 2 hours to complete and are run nightly. You want to minimize service costs. What should you do?","Select Google Kubernetes Engine. Use a single-node cluster with a small instance type.","Select Google Kubernetes Engine. Use a three-node cluster with micro instance types.","Select Compute Engine. Use preemptible VM instances of the appropriate standard machine type.","Select Compute Engine. Use VM instance types that support micro bursting.",C
"You recently deployed a new version of an application to App Engine and then discovered a bug in the release. You need to immediately revert to the prior version of the application. What should you do?","Run gcloud app restore.","On the App Engine page of the GCP Console, select the application that needs to be reverted and click Revert.","On the App Engine Versions page of the GCP Console, route 100% of the traffic to the previous version.","Deploy the original version as a separate application and split traffic.",C
"You deployed an App Engine application using gcloud app deploy, but it did not deploy to the intended project. You want to find out why this happened and where the application deployed. What should you do?","Check the app.yaml file for your application and check project settings.","Check the web-application.xml file for your application and check project settings.","Go to Deployment Manager and review settings for deployment of applications.","Go to Cloud Shell and run gcloud config list to review the Google Cloud configuration used for deployment.",D
"You want to configure 10 Compute Engine instances for availability when maintenance occurs. Your requirements state that these instances should attempt to automatically restart if they crash. Also, the instances should be highly available including during system maintenance. What should you do?","Create an instance template for the instances. Set the 'Automatic Restart' to on. Set the 'On-host maintenance' to Migrate VM instance. Add the instance template to an instance group.","Create an instance template. Set 'Automatic Restart' to off. Set 'On-host maintenance' to Terminate VM instances.","Create an instance group for the instances. Set the 'Autohealing' health check to healthy (HTTP).","Create an instance group. Verify that 'do not retry machine creation' is set to off.",A
"You host a static website on Cloud Storage. Recently, you began to include links to PDF files. Currently, when users click on the links, their browsers prompt them to save the file. Instead, you want the clicked PDF files to be displayed within the browser window directly. What should you do?","Enable Cloud CDN on the website frontend.","Enable 'Share publicly' on the PDF file objects.","Set Content-Type metadata to application/pdf on the PDF file objects.","Add a label to the storage bucket with a key of Content-Type and value of application/pdf.",C
