Question Number,Question Text,Options,Answer (Blue Tick)
201,"Your company has multiple projects linked to a single billing account in Google Cloud. You need to visualize the costs with specific metrics that should be dynamically calculated based on company-specific criteria. You want to automate the process. What should you do?","A. In the Google Cloud console, visualize the costs related to the projects in the Reports section. | B. In the Google Cloud console, visualize the costs related to the projects in the Cost breakdown section. | C. In the Google Cloud console, use the export functionality of the Cost table. Create a Looker Studio dashboard on top of the CSV export. | D. Configure Cloud Billing data export to BigQuery for the billing account. Create a Looker Studio dashboard on top of the BigQuery export.",D
202,"You have an application that runs on Compute Engine VM instances in a custom Virtual Private Cloud (VPC). Your company’s security policies only allow the use of internal IP addresses on VM instances and do not let VM instances connect to the internet. You need to ensure that the application can access a file hosted in a Cloud Storage bucket within your project. What should you do?","A. Enable Private Service Access on the Cloud Storage Bucket. | B. Add storage.googleapis.com to the list of restricted services in a VPC Service Controls perimeter and add your project to the list of protected projects. | C. Enable Private Google Access on the subnet within the custom VPC. | D. Deploy a Cloud NAT instance and route the traffic to the dedicated IP address of the Cloud Storage bucket.",C
203,"Your company completed the acquisition of a startup and is now merging the IT systems of both companies. The startup had a production Google Cloud project in their organization. You need to move this project into your organization and ensure that the project is billed to your organization. You want to accomplish this task with minimal effort. What should you do?","A. Use the projects.move method to move the project to your organization. Update the billing account of the project to that of your organization. | B. Ensure that you have an Organization Administrator Identity and Access Management (IAM) role assigned to you in both organizations. Navigate to the Resource Manager in the startup’s Google Cloud organization, and drag the project to your company's organization. | C. Create a Private Catalog for the Google Cloud Marketplace, and upload the resources of the startup's production project to the Catalog. Share the Catalog with your organization, and deploy the resources in your company’s project. | D. Create an infrastructure-as-code template for all resources in the project by using Terraform, and deploy that template to a new project in your organization. Delete the project from the startup’s Google Cloud organization.",A
204,"All development (dev) teams in your organization are located in the United States. Each dev team has its own Google Cloud project. You want to restrict access so that each dev team can only create cloud resources in the United States (US). What should you do?","A. Create a folder to contain all the dev projects. Create an organization policy to limit resources in US locations. | B. Create an organization to contain all the dev projects. Create an Identity and Access Management (IAM) policy to limit the resources in US regions. | C. Create an Identity and Access Management (IAM) policy to restrict the resources locations in the US. Apply the policy to all dev projects. | D. Create an Identity and Access Management (IAM) policy to restrict the resources locations in all dev projects. Apply the policy to all dev roles.",A
205,"You are configuring Cloud DNS. You want to create DNS records to point home.mydomain.com, mydomain.com, and www.mydomain.com to the IP address of your Google Cloud load balancer. What should you do?","A. Create one CNAME record to point mydomain.com to the load balancer, and create two A records to point WWW and HOME to mydomain.com respectively. | B. Create one CNAME record to point mydomain.com to the load balancer, and create two AAAA records to point WWW and HOME to mydomain.com respectively. | C. Create one A record to point mydomain.com to the load balancer, and create two CNAME records to point WWW and HOME to mydomain.com respectively. | D. Create one A record to point mydomain.com to the load balancer, and create two NS records to point WWW and HOME to mydomain.com respectively.",C
206,"You have two subnets (subnet-a and subnet-b) in the default VPC. Your database servers are running in subnet-a. Your application servers and web servers are running in subnet-b. You want to configure a firewall rule that only allows database traffic from the application servers to the database servers. What should you do?","A. Create service accounts sa-app and sa-db. Associate service account sa-app with the application servers and the service account sa-db with the database servers. Create an ingress firewall rule to allow network traffic from source service account sa-app to target service account sa-db. | B. Create network tags app-server and db-server. Add the app-server tag to the application servers and the db-server tag to the database servers. Create an egress firewall rule to allow network traffic from source network tag app-server to target network tag db-server. | C. Create a service account sa-app and a network tag db-server. Associate the service account sa-app with the application servers and the network tag db-server with the database servers. Create an ingress firewall rule to allow network traffic from source VPC IP addresses and target the subnet-a IP addresses. | D. Create a network tag app-server and service account sa-db. Add the tag to the application servers and associate the service account with the database servers. Create an egress firewall rule to allow network traffic from source network tag app-server to target service account sa-db.",A
207,"Your team wants to deploy a specific content management system (CMS) solution to Google Cloud. You need a quick and easy way to deploy and install the solution. What should you do?","A. Search for the CMS solution in Google Cloud Marketplace. Use gcloud CLI to deploy the solution. | B. Search for the CMS solution in Google Cloud Marketplace. Deploy the solution directly from Cloud Marketplace. | C. Search for the CMS solution in Google Cloud Marketplace. Use Terraform and the Cloud Marketplace ID to deploy the solution with the appropriate parameters. | D. Use the installation guide of the CMS provider. Perform the installation through your configuration management system.",B
208,"You are working for a startup that was officially registered as a business 6 months ago. As your customer base grows, your use of Google Cloud increases. You want to allow all engineers to create new projects without asking them for their credit card information. What should you do?","A. Create a Billing account, associate a payment method with it, and provide all project creators with permission to associate that billing account with their projects. | B. Grant all engineers permission to create their own billing accounts for each new project. | C. Apply for monthly invoiced billing, and have a single invoice for the project paid by the finance team. | D. Create a billing account, associate it with a monthly purchase order (PO), and send the PO to Google Cloud.",A
209,"Your continuous integration and delivery (CI/CD) server can’t execute Google Cloud actions in a specific project because of permission issues. You need to validate whether the used service account has the appropriate roles in the specific project. What should you do?","A. Open the Google Cloud console, and check the Identity and Access Management (IAM) roles assigned to the service account at the project or inherited from the folder or organization levels. | B. Open the Google Cloud console, and check the organization policies. | C. Open the Google Cloud console, and run a query to determine which resources this service account can access. | D. Open the Google Cloud console, and run a query of the audit logs to find permission denied errors for this service account.",A
210,"Your team is using Linux instances on Google Cloud. You need to ensure that your team logs in to these instances in the most secure and cost efficient way. What should you do?","A. Attach a public IP to the instances and allow incoming connections from the internet on port 22 for SSH. | B. Use the gcloud compute ssh command with the --tunnel-through-iap flag. Allow ingress traffic from the IP range 35.235.240.0/20 on port 22. | C. Use a third party tool to provide remote access to the instances. | D. Create a bastion host with public internet access. Create the SSH tunnel to the instance through the bastion host.",B
